ssp_grouper_id,sub_category_id,parent_title_name,sub_category_name,parent_description,disease_area,category,medicare_apc,anchor_codes
CP020,CP020,Cardiac catheterization,-,"Cardiac catheterization is a diagnostic procedure where your doctor threads a thin, flexible tube called a catheter through your blood vessels to examine your heart and coronary arteries. This test helps diagnose heart disease, assess how well your heart is pumping, measure blood pressure in your heart chambers, and take tissue samples if needed. Your doctor can see blockages, valve problems, and other abnormalities on X-ray imaging. The procedure is performed while you're awake but sedated, and you'll generally feel minimal discomfort. This detailed information helps your doctor plan the best treatment for your condition, whether that's medication, a stent, bypass surgery, or another intervention.",Cardiac & Vascular,Encounter,5191,"93451, 93453, 93454, 93456, 93458, 93459, 93460, 93461, 93597"
CP03Z,CP031,Outpatient defibrillator (ICD) replacement,Removal,"An implantable cardioverter-defibrillator (ICD) replacement involves removing your old device and implanting a new one under your skin. An ICD is a small device that monitors your heart rhythm and delivers an electric shock if dangerous irregular heartbeats develop, potentially saving your life. Your doctor performs this outpatient procedure in a cardiac electrophysiology lab while you're under local anesthesia. The new device is programmed to your specific needs. This type of procedure can involve removal and revision of the device, and the cost may vary depending on the specific service performed.",Cardiac & Vascular,Encounter,5232,"33262, 33263, 33264"
CP03Z,CP031,Outpatient defibrillator (ICD) replacement,Removal,"An implantable cardioverter-defibrillator (ICD) replacement involves removing your old device and implanting a new one under your skin. An ICD is a small device that monitors your heart rhythm and delivers an electric shock if dangerous irregular heartbeats develop, potentially saving your life. Your doctor performs this outpatient procedure in a cardiac electrophysiology lab while you're under local anesthesia. The new device is programmed to your specific needs. This type of procedure can involve removal and revision of the device, and the cost may vary depending on the specific service performed.",Cardiac & Vascular,Encounter,5232,"33262, 33263, 33264"
CP03Z,CP032,Outpatient defibrillator (ICD) replacement,Revision,"An implantable cardioverter-defibrillator (ICD) replacement involves removing your old device and implanting a new one under your skin. An ICD is a small device that monitors your heart rhythm and delivers an electric shock if dangerous irregular heartbeats develop, potentially saving your life. Your doctor performs this outpatient procedure in a cardiac electrophysiology lab while you're under local anesthesia. The new device is programmed to your specific needs. This type of procedure can involve removal and revision of the device, and the cost may vary depending on the specific service performed.",Cardiac & Vascular,Encounter,5232,"33249, 33270"
CP03Z,CP032,Outpatient defibrillator (ICD) replacement,Revision,"An implantable cardioverter-defibrillator (ICD) replacement involves removing your old device and implanting a new one under your skin. An ICD is a small device that monitors your heart rhythm and delivers an electric shock if dangerous irregular heartbeats develop, potentially saving your life. Your doctor performs this outpatient procedure in a cardiac electrophysiology lab while you're under local anesthesia. The new device is programmed to your specific needs. This type of procedure can involve removal and revision of the device, and the cost may vary depending on the specific service performed.",Cardiac & Vascular,Encounter,5232,"33249, 33270"
CP040,CP040,Leadless pacemaker insertion,-,"A leadless pacemaker insertion is an outpatient procedure where your doctor implants a tiny, self-contained pacemaker directly into your heart. Unlike traditional pacemakers, this device has no external wires (leads), which reduces risks of complications and infections. Your cardiologist uses a catheter to guide the device through your blood vessels into the right ventricle of your heart, where it stays in place. The device monitors your heart rhythm and delivers electrical impulses to keep your heart beating at a healthy rate. This less invasive approach allows you to heal faster.",Cardiac & Vascular,Encounter,5224,"0795T, 0823T, 33274"
CP040,CP040,Leadless pacemaker insertion,-,"A leadless pacemaker insertion is an outpatient procedure where your doctor implants a tiny, self-contained pacemaker directly into your heart. Unlike traditional pacemakers, this device has no external wires (leads), which reduces risks of complications and infections. Your cardiologist uses a catheter to guide the device through your blood vessels into the right ventricle of your heart, where it stays in place. The device monitors your heart rhythm and delivers electrical impulses to keep your heart beating at a healthy rate. This less invasive approach allows you to heal faster.",Cardiac & Vascular,Encounter,5224,"0795T, 0823T, 33274"
CP05Z,CP051,Pacemaker insertion,Temporary pacemaker,"A pacemaker insertion is a procedure where your doctor implants a small device under your skin to regulate your heartbeat. Your doctor places it in a pouch under your collarbone and connects wires through blood vessels to your heart. The pacemaker monitors your heart's natural rhythm and delivers electrical impulses when your heart is beating too slowly (bradycardia). This life-saving device helps restore a steady, healthy heart rhythm so blood can circulate properly. The procedure is minimally invasive and performed in a cardiac electrophysiology lab. This type of procedure can be performed various ways, including temporary pacemaker and permanent pacemaker, and the cost may vary depending on the specific approach or service provided.",Cardiac & Vascular,Encounter,5223,"33206, 33208, 33216, 33217"
CP05Z,CP051,Pacemaker insertion,Temporary pacemaker,"A pacemaker insertion is a procedure where your doctor implants a small device under your skin to regulate your heartbeat. Your doctor places it in a pouch under your collarbone and connects wires through blood vessels to your heart. The pacemaker monitors your heart's natural rhythm and delivers electrical impulses when your heart is beating too slowly (bradycardia). This life-saving device helps restore a steady, healthy heart rhythm so blood can circulate properly. The procedure is minimally invasive and performed in a cardiac electrophysiology lab. This type of procedure can be performed various ways, including temporary pacemaker and permanent pacemaker, and the cost may vary depending on the specific approach or service provided.",Cardiac & Vascular,Encounter,5223,"33206, 33208, 33216, 33217"
CP05Z,CP052,Pacemaker insertion,Permanent pacemaker,"A pacemaker insertion is a procedure where your doctor implants a small device under your skin to regulate your heartbeat. Your doctor places it in a pouch under your collarbone and connects wires through blood vessels to your heart. The pacemaker monitors your heart's natural rhythm and delivers electrical impulses when your heart is beating too slowly (bradycardia). This life-saving device helps restore a steady, healthy heart rhythm so blood can circulate properly. The procedure is minimally invasive and performed in a cardiac electrophysiology lab. This type of procedure can be performed various ways, including temporary pacemaker and permanent pacemaker, and the cost may vary depending on the specific approach or service provided.",Cardiac & Vascular,Encounter,5223,33207
CP05Z,CP052,Pacemaker insertion,Permanent pacemaker,"A pacemaker insertion is a procedure where your doctor implants a small device under your skin to regulate your heartbeat. Your doctor places it in a pouch under your collarbone and connects wires through blood vessels to your heart. The pacemaker monitors your heart's natural rhythm and delivers electrical impulses when your heart is beating too slowly (bradycardia). This life-saving device helps restore a steady, healthy heart rhythm so blood can circulate properly. The procedure is minimally invasive and performed in a cardiac electrophysiology lab. This type of procedure can be performed various ways, including temporary pacemaker and permanent pacemaker, and the cost may vary depending on the specific approach or service provided.",Cardiac & Vascular,Encounter,5223,33207
CP060,CP060,Pacemaker replacement,-,"Pacemaker replacement is an outpatient procedure where your doctor removes your old pacemaker and implants a new one. Pacemakers typically last 7-10 years before the battery depletes, at which point replacement is necessary. Your cardiologist makes a small incision under your collarbone, removes the old device, and places a new one in the same location. The wires already in your heart are usually reused and connected to the new device. This procedure helps ensure your pacemaker continues to keep your heart beating at a healthy rate. After recovery, your new device will function just like your previous one.",Cardiac & Vascular,Encounter,5223,"33227, 33228, 33229"
CP060,CP060,Pacemaker replacement,-,"Pacemaker replacement is an outpatient procedure where your doctor removes your old pacemaker and implants a new one. Pacemakers typically last 7-10 years before the battery depletes, at which point replacement is necessary. Your cardiologist makes a small incision under your collarbone, removes the old device, and places a new one in the same location. The wires already in your heart are usually reused and connected to the new device. This procedure helps ensure your pacemaker continues to keep your heart beating at a healthy rate. After recovery, your new device will function just like your previous one.",Cardiac & Vascular,Encounter,5223,"33227, 33228, 33229"
CP07Z,CP071,Outpatient percutaneous coronary intervention (PCI),Standard PCI,"Percutaneous coronary intervention (PCI) is an outpatient procedure where your cardiologist uses a catheter to open blocked coronary arteries and restore blood flow to your heart. Your doctor threads a thin tube through your blood vessels, locates the blockage, and uses a balloon or other tool to clear it. Usually a stent (small mesh tube) is placed to keep the artery open. PCI provides quick relief of chest pain and prevents heart attacks. The procedure is performed in a cardiac catheterization lab while you're awake but sedated. The cost of this procedure may vary depending on the complexity involved. Categories include standard pci and complex (multi-vessel).",Cardiac & Vascular,Encounter,5193,"92928, 92933, 92937, 92943, C9600"
CP07Z,CP071,Outpatient percutaneous coronary intervention (PCI),Standard PCI,"Percutaneous coronary intervention (PCI) is an outpatient procedure where your cardiologist uses a catheter to open blocked coronary arteries and restore blood flow to your heart. Your doctor threads a thin tube through your blood vessels, locates the blockage, and uses a balloon or other tool to clear it. Usually a stent (small mesh tube) is placed to keep the artery open. PCI provides quick relief of chest pain and prevents heart attacks. The procedure is performed in a cardiac catheterization lab while you're awake but sedated. The cost of this procedure may vary depending on the complexity involved. Categories include standard pci and complex (multi-vessel).",Cardiac & Vascular,Encounter,5193,"92928, 92933, 92937, 92943, C9600"
CP07Z,CP072,Outpatient percutaneous coronary intervention (PCI),Complex (multi-vessel),"Percutaneous coronary intervention (PCI) is an outpatient procedure where your cardiologist uses a catheter to open blocked coronary arteries and restore blood flow to your heart. Your doctor threads a thin tube through your blood vessels, locates the blockage, and uses a balloon or other tool to clear it. Usually a stent (small mesh tube) is placed to keep the artery open. PCI provides quick relief of chest pain and prevents heart attacks. The procedure is performed in a cardiac catheterization lab while you're awake but sedated. The cost of this procedure may vary depending on the complexity involved. Categories include standard pci and complex (multi-vessel).",Cardiac & Vascular,Encounter,5193,
CP07Z,CP072,Outpatient percutaneous coronary intervention (PCI),Complex (multi-vessel),"Percutaneous coronary intervention (PCI) is an outpatient procedure where your cardiologist uses a catheter to open blocked coronary arteries and restore blood flow to your heart. Your doctor threads a thin tube through your blood vessels, locates the blockage, and uses a balloon or other tool to clear it. Usually a stent (small mesh tube) is placed to keep the artery open. PCI provides quick relief of chest pain and prevents heart attacks. The procedure is performed in a cardiac catheterization lab while you're awake but sedated. The cost of this procedure may vary depending on the complexity involved. Categories include standard pci and complex (multi-vessel).",Cardiac & Vascular,Encounter,5193,
CP08Z,CP081,Cardiac rhythm monitor,Removal,"A cardiac rhythm monitor (also called an implantable loop recorder or event monitor) is a small device implanted under your skin to continuously record your heart's electrical activity. This helps your cardiologist diagnose irregular heartbeats (arrhythmias) that may cause fainting, palpitations, or other symptoms. The device stores months of heart rhythm data that your doctor can review at office visits or retrieve remotely. By capturing what's happening with your heart over extended periods, your doctor can diagnose subtle rhythm problems and adjust treatment. This type of procedure can involve removal and insertion of the device, and the cost may vary depending on the specific service performed.",Cardiac & Vascular,Encounter,5222,33286
CP08Z,CP081,Cardiac rhythm monitor,Removal,"A cardiac rhythm monitor (also called an implantable loop recorder or event monitor) is a small device implanted under your skin to continuously record your heart's electrical activity. This helps your cardiologist diagnose irregular heartbeats (arrhythmias) that may cause fainting, palpitations, or other symptoms. The device stores months of heart rhythm data that your doctor can review at office visits or retrieve remotely. By capturing what's happening with your heart over extended periods, your doctor can diagnose subtle rhythm problems and adjust treatment. This type of procedure can involve removal and insertion of the device, and the cost may vary depending on the specific service performed.",Cardiac & Vascular,Encounter,5222,33286
CP08Z,CP082,Cardiac rhythm monitor,Insertion,"A cardiac rhythm monitor (also called an implantable loop recorder or event monitor) is a small device implanted under your skin to continuously record your heart's electrical activity. This helps your cardiologist diagnose irregular heartbeats (arrhythmias) that may cause fainting, palpitations, or other symptoms. The device stores months of heart rhythm data that your doctor can review at office visits or retrieve remotely. By capturing what's happening with your heart over extended periods, your doctor can diagnose subtle rhythm problems and adjust treatment. This type of procedure can involve removal and insertion of the device, and the cost may vary depending on the specific service performed.",Cardiac & Vascular,Encounter,5222,33285
CP08Z,CP082,Cardiac rhythm monitor,Insertion,"A cardiac rhythm monitor (also called an implantable loop recorder or event monitor) is a small device implanted under your skin to continuously record your heart's electrical activity. This helps your cardiologist diagnose irregular heartbeats (arrhythmias) that may cause fainting, palpitations, or other symptoms. The device stores months of heart rhythm data that your doctor can review at office visits or retrieve remotely. By capturing what's happening with your heart over extended periods, your doctor can diagnose subtle rhythm problems and adjust treatment. This type of procedure can involve removal and insertion of the device, and the cost may vary depending on the specific service performed.",Cardiac & Vascular,Encounter,5222,33285
CP10Z,CP101,Varicose vein treatment,Sclerotherapy,"Varicose vein treatment closes off swollen, twisted veins in your legs so blood reroutes to healthier veins nearby. Varicose veins form when small valves inside the veins weaken and blood pools, causing bulging, aching, or heaviness. Your doctor performs this in an outpatient clinic using local anesthesia, so you stay awake and go home the same day. Depending on the vein, your doctor may inject a solution that seals it shut or use heat delivered through a thin catheter to close it from the inside. You feel little more than small pinpricks, and the treated veins gradually fade over the following weeks. Most people walk out afterward and return to light activity quickly.",Cardiac & Vascular,Encounter,5183,36471
CP10Z,CP101,Varicose vein treatment,Sclerotherapy,"Varicose vein treatment closes off swollen, twisted veins in your legs so blood reroutes to healthier veins nearby. Varicose veins form when small valves inside the veins weaken and blood pools, causing bulging, aching, or heaviness. Your doctor performs this in an outpatient clinic using local anesthesia, so you stay awake and go home the same day. Depending on the vein, your doctor may inject a solution that seals it shut or use heat delivered through a thin catheter to close it from the inside. You feel little more than small pinpricks, and the treated veins gradually fade over the following weeks. Most people walk out afterward and return to light activity quickly.",Cardiac & Vascular,Encounter,5183,36471
CP10Z,CP102,Varicose vein treatment,Ablation,"Varicose vein treatment closes off swollen, twisted veins in your legs so blood reroutes to healthier veins nearby. Varicose veins form when small valves inside the veins weaken and blood pools, causing bulging, aching, or heaviness. Your doctor performs this in an outpatient clinic using local anesthesia, so you stay awake and go home the same day. Depending on the vein, your doctor may inject a solution that seals it shut or use heat delivered through a thin catheter to close it from the inside. You feel little more than small pinpricks, and the treated veins gradually fade over the following weeks. Most people walk out afterward and return to light activity quickly.",Cardiac & Vascular,Encounter,5183,"36475, 36478, 36482"
CP10Z,CP102,Varicose vein treatment,Ablation,"Varicose vein treatment closes off swollen, twisted veins in your legs so blood reroutes to healthier veins nearby. Varicose veins form when small valves inside the veins weaken and blood pools, causing bulging, aching, or heaviness. Your doctor performs this in an outpatient clinic using local anesthesia, so you stay awake and go home the same day. Depending on the vein, your doctor may inject a solution that seals it shut or use heat delivered through a thin catheter to close it from the inside. You feel little more than small pinpricks, and the treated veins gradually fade over the following weeks. Most people walk out afterward and return to light activity quickly.",Cardiac & Vascular,Encounter,5183,"36475, 36478, 36482"
CP120,CP120,AV node ablation,-,"AV node ablation treats certain types of irregular heartbeat (arrhythmias) by carefully destroying the abnormal electrical tissue causing the problem. This procedure is performed using a catheter-based approach guided by specialized imaging, allowing your cardiologist to target only the problematic tissue while preserving normal heart function. The procedure is minimally invasive, typically requiring only a small catheter inserted through the groin or arm. Most patients experience dramatic improvement in symptoms and can return to normal activities quickly.",Cardiac & Vascular,Encounter,5212,93650
CP120,CP120,AV node ablation,-,"AV node ablation treats certain types of irregular heartbeat (arrhythmias) by carefully destroying the abnormal electrical tissue causing the problem. This procedure is performed using a catheter-based approach guided by specialized imaging, allowing your cardiologist to target only the problematic tissue while preserving normal heart function. The procedure is minimally invasive, typically requiring only a small catheter inserted through the groin or arm. Most patients experience dramatic improvement in symptoms and can return to normal activities quickly.",Cardiac & Vascular,Encounter,5212,93650
CP140,CP140,Vascular embolization,-,"A vascular embolization blocks blood flow to abnormal blood vessels or tumors using catheters and special materials. During this outpatient procedure, your doctor threads a thin catheter through blood vessels to the target area under imaging guidance. Small particles, coils, or other materials are deployed to block blood flow, shrinking the abnormal tissue. The procedure takes 1-3 hours and you're sedated for comfort. Most people go home the same day or with brief overnight observation. Recovery is faster than surgery.",Cardiac & Vascular,Encounter,5193,"37241, 37242, 37243, 37244"
CP140,CP140,Vascular embolization,-,"A vascular embolization blocks blood flow to abnormal blood vessels or tumors using catheters and special materials. During this outpatient procedure, your doctor threads a thin catheter through blood vessels to the target area under imaging guidance. Small particles, coils, or other materials are deployed to block blood flow, shrinking the abnormal tissue. The procedure takes 1-3 hours and you're sedated for comfort. Most people go home the same day or with brief overnight observation. Recovery is faster than surgery.",Cardiac & Vascular,Encounter,5193,"37241, 37242, 37243, 37244"
DP02Z,DP021,Skin cyst aspiration,Percutaneous cyst aspiration,"Skin cyst aspiration is a procedure where your dermatologist uses a needle to remove fluid or material from a cyst under or on your skin. The specific approach depends on the cyst's location, size, and type. Draining a cyst relieves pressure, reduces size, and may prevent infection or rupture. The procedure takes minutes. This type of procedure can be performed various ways, including percutaneous cyst aspiration, laparoscopic ovarian cyst, and image guided, and the cost may vary depending on the specific approach or service provided.",Dermatology,Encounter,5442,"10160, 19000, 50390, 55000, 60300, 61070"
DP02Z,DP021,Skin cyst aspiration,Percutaneous cyst aspiration,"Skin cyst aspiration is a procedure where your dermatologist uses a needle to remove fluid or material from a cyst under or on your skin. The specific approach depends on the cyst's location, size, and type. Draining a cyst relieves pressure, reduces size, and may prevent infection or rupture. The procedure takes minutes. This type of procedure can be performed various ways, including percutaneous cyst aspiration, laparoscopic ovarian cyst, and image guided, and the cost may vary depending on the specific approach or service provided.",Dermatology,Encounter,5442,"10160, 19000, 50390, 55000, 60300, 61070"
