ssp_grouper_id,category,parent_title_name,disease_area,pos,shoppability,medicare_apc,parent_description
CP060,Encounter,Pacemaker replacement,Cardiac & Vascular,OP,4.00,5223,"Pacemaker replacement is an outpatient procedure where your doctor removes your old pacemaker and implants a new one. Pacemakers typically last 7-10 years before the battery depletes, at which point replacement is necessary. Your cardiologist makes a small incision under your collarbone, removes the old device, and places a new one in the same location. The wires already in your heart are usually reused and connected to the new device. This procedure helps ensure your pacemaker continues to keep your heart beating at a healthy rate. After recovery, your new device will function just like your previous one."
CP07Z,Encounter,Outpatient percutaneous coronary intervention (PCI),Cardiac & Vascular,OP,3.47,5193,"Percutaneous coronary intervention (PCI) is an outpatient procedure where your cardiologist uses a catheter to open blocked coronary arteries and restore blood flow to your heart. Your doctor threads a thin tube through your blood vessels, locates the blockage, and uses a balloon or other tool to clear it. Usually a stent (small mesh tube) is placed to keep the artery open. PCI provides quick relief of chest pain and prevents heart attacks. The procedure is performed in a cardiac catheterization lab while you're awake but sedated. The cost of this procedure may vary depending on the complexity involved. Categories include standard pci and complex (multi-vessel)."
CP08Z,Encounter,Cardiac rhythm monitor,Cardiac & Vascular,OP,4.50,5222,"A cardiac rhythm monitor (also called an implantable loop recorder or event monitor) is a small device implanted under your skin to continuously record your heart's electrical activity. This helps your cardiologist diagnose irregular heartbeats (arrhythmias) that may cause fainting, palpitations, or other symptoms. The device stores months of heart rhythm data that your doctor can review at office visits or retrieve remotely. By capturing what's happening with your heart over extended periods, your doctor can diagnose subtle rhythm problems and adjust treatment. This type of procedure can involve removal and insertion of the device, and the cost may vary depending on the specific service performed."
CP10Z,Encounter,Varicose vein treatment,Cardiac & Vascular,OP,5.00,5183,"Varicose vein treatment closes off swollen, twisted veins in your legs so blood reroutes to healthier veins nearby. Varicose veins form when small valves inside the veins weaken and blood pools, causing bulging, aching, or heaviness. Your doctor performs this in an outpatient clinic using local anesthesia, so you stay awake and go home the same day. Depending on the vein, your doctor may inject a solution that seals it shut or use heat delivered through a thin catheter to close it from the inside. You feel little more than small pinpricks, and the treated veins gradually fade over the following weeks. Most people walk out afterward and return to light activity quickly."
CP120,Encounter,AV node ablation,Cardiac & Vascular,OP,2.50,5212,"AV node ablation treats certain types of irregular heartbeat (arrhythmias) by carefully destroying the abnormal electrical tissue causing the problem. This procedure is performed using a catheter-based approach guided by specialized imaging, allowing your cardiologist to target only the problematic tissue while preserving normal heart function. The procedure is minimally invasive, typically requiring only a small catheter inserted through the groin or arm. Most patients experience dramatic improvement in symptoms and can return to normal activities quickly."
CP140,Encounter,Vascular embolization,Cardiac & Vascular,OP,4.50,5193,"A vascular embolization blocks blood flow to abnormal blood vessels or tumors using catheters and special materials. During this outpatient procedure, your doctor threads a thin catheter through blood vessels to the target area under imaging guidance. Small particles, coils, or other materials are deployed to block blood flow, shrinking the abnormal tissue. The procedure takes 1-3 hours and you're sedated for comfort. Most people go home the same day or with brief overnight observation. Recovery is faster than surgery."
DP02Z,Encounter,Skin cyst aspiration,Dermatology,OP,4.49,5442,"Skin cyst aspiration is a procedure where your dermatologist uses a needle to remove fluid or material from a cyst under or on your skin. The specific approach depends on the cyst's location, size, and type. Draining a cyst relieves pressure, reduces size, and may prevent infection or rupture. The procedure takes minutes. This type of procedure can be performed various ways, including percutaneous cyst aspiration, laparoscopic ovarian cyst, and image guided, and the cost may vary depending on the specific approach or service provided."
DP03Z,Encounter,Fine needle biopsy,Dermatology,OP,4.51,5071,"Fine needle biopsy is a procedure where your doctor uses a thin needle to extract a small tissue sample from a suspicious lesion or lump for examination under a microscope. This helps diagnose whether the lesion is benign or cancerous. Your pathologist examines the cells to determine diagnosis. This type of procedure can be performed various ways, including non-guided fna and image-guided fna, and the cost may vary depending on the specific approach or service provided."
DP05Z,Encounter,Percutaneous (core needle) biopsy,Dermatology,OP,4.50,5072,"Percutaneous skin biopsy is a procedure where your doctor uses a needle or punch tool to remove a small tissue sample from skin or underlying tissue. This helps diagnose skin conditions, infections, or cancer. The procedure takes minutes and generally causes minimal discomfort. Depending on the location and type of tissue being biopsied, different approaches are used. The cost of this procedure may vary depending on the body part being examined or treated. Categories include head/neck gland, general, spine, and testis."
DP06Z,Encounter,Skin lesion localization,Dermatology,OP,4.50,5072,"Skin lesion localization is a procedure where your doctor marks or identifies a suspicious skin lesion's exact location to guide surgical removal or biopsy. This is particularly helpful for small or difficult-to-see lesions. Your doctor may use a dye injection, wire placement, or radioactive tracer to mark the lesion. This type of procedure can be performed various ways, including without mammography and with mammography, and the cost may vary depending on the specific approach or service provided."
DP090,Encounter,Pilonidal cyst excision,Dermatology,OP,4.50,5073,"Pilonidal cyst excision is surgical removal of a cyst at the base of your tailbone that becomes infected or painful. Your surgeon removes the cyst and surrounding tissue under local or general anesthesia. After removal, the wound is closed with stitches or left to heal from inside out depending on your situation. This condition often recurs if not properly treated. Some surgeons use specialized closure techniques to reduce recurrence. Recovery typically takes one to three weeks with pain management and wound care. Once healed, you can return to normal activities."
DP11Z,Encounter,Skin lesion removal,Dermatology,OP,4.89,5072,"Skin lesion removal is an outpatient procedure to surgically remove benign or malignant skin lesions. Your dermatologist removes the lesion under local anesthesia, taking care to remove it completely with appropriate margins. The wound is closed with stitches or left to heal naturally depending on the lesion's size and location. Healing typically takes one to three weeks. The cost of this procedure may vary depending on the size of the area being treated. Categories include small (<2cm), medium (2-4cm), and large (>4cm)."
DP12Z,Encounter,Local tumor excision,Dermatology,OP,4.50,5073,"Local tumor excision is surgical removal of a skin cancer or tumor along with a margin of healthy tissue around it. Your dermatologic surgeon removes the tumor completely to eliminate cancer cells while preserving healthy skin. The size and location of the tumor determine the surgical technique used. Pathology examination of the removed specimen confirms complete removal. The wound is closed with stitches. The cost of this procedure may vary depending on the size of the area being treated. Categories include small (<3 cm), medium (2-5 cm), large (≥5 cm), and breast & radical resection."
DP130,Encounter,Radical tumor resection,Dermatology,OP,4.00,5073,Radical tumor resection is extensive surgical removal of a malignant tumor along with surrounding tissue and potentially lymph nodes to ensure complete cancer removal. Your surgeon removes the tumor with substantial margins and may remove involved regional lymph nodes. This aggressive approach is used for tumors with higher recurrence risk or aggressive behavior. The procedure may leave a larger scar but provides the best chance of complete cancer removal. Pathology examination confirms complete removal.
EE01Z,I&S,Emergency room visit,Emergency / Trauma,OP,1.00,5022,"An emergency room visit is care you receive when you have a sudden, urgent medical problem. Your emergency care team quickly assesses your condition to determine how serious your situation is and what treatment you need. During your visit, you'll be evaluated, may have tests or imaging, and receive immediate treatment for your acute condition. The emergency room operates 24/7 to handle medical emergencies ranging from minor injuries to life-threatening situations. Your medical team works efficiently to stabilize your condition and decide if you need admission to the hospital or can go home with follow-up care. The cost of this procedure may vary depending on the complexity involved. Categories include low complexity, moderate complexity, moderate-high complexity, and high complexity."
EE02Z,I&S,Wound treatment,Emergency / Trauma,OP,2.64,5052,"Wound treatment covers the full range of professional care for cuts, lacerations, and traumatic skin injuries, from thorough cleaning and tissue debridement to complex layered surgical repair. Your provider assesses the wound's depth, length, location, degree of contamination, and tissue condition to determine the appropriate level of care. The simplest cases involve irrigating and debriding the wound to remove bacteria and damaged tissue, while the most complex require multi-layer closure with advanced techniques to restore skin integrity. Local or regional anesthesia is used to keep you comfortable throughout. This type of procedure ranges in complexity from basic debridement and irrigation through to intermediate and complex repair, and the cost will vary depending on the extent of treatment required."
EM010,I&S,Critical care (outpatient),Emergency / Trauma,OP,1.00,5041,"Critical care is specialized medical treatment for patients with severe, life-threatening conditions. Your medical team provides continuous monitoring and intensive management in a dedicated critical care setting. During this treatment, you'll receive comprehensive support including respiratory assistance, medication infusions, and frequent vital sign monitoring. Your care is overseen by specially trained critical care physicians and nurses. This intensive approach allows your medical team to respond immediately to any changes in your condition. Critical care may be used for various emergencies, from severe infections to major organ dysfunction. The goal is to stabilize you and manage complications while your underlying condition is treated. Your family will be kept informed about your progress and involved in care decisions when possible."
GP01Z,Encounter,Appendectomy,Gastroenterology,OP,1.00,5342,"Appendectomy is surgery to remove your appendix, a small tube attached to your large intestine. Appendicitis occurs when your appendix becomes inflamed or infected, causing pain and requiring surgical removal to prevent rupture. Your surgeon will carefully remove the inflamed appendix while protecting your other internal organs. This procedure is most often performed urgently or emergently because an inflamed appendix can rupture, causing life-threatening infection. Your surgeon may use either an open approach with a larger incision or a minimally invasive laparoscopic approach with smaller incisions. After appendectomy, you'll recover once your incision heals, usually within 1-2 weeks. You'll receive pain management and instructions about returning to normal activities at your own pace. This type of procedure can be performed various ways, including an open surgical approach or a minimally invasive laparoscopic technique, and the cost may vary depending on the method used."
GP02Z,Encounter,Cholecystectomy,Gastroenterology,OP,4.00,5361,"Cholecystectomy is surgery to remove your gallbladder, a small organ that stores digestive fluid called bile. This surgery is performed when gallstones or other gallbladder problems cause pain or complications. Your surgeon will remove your gallbladder, and your body will function normally without it as bile will flow directly to your intestines. Most people tolerate life without a gallbladder very well, though some experience changes in bowel habits. Your surgeon may use either open surgery with a larger incision or laparoscopic surgery with several small incisions. Recovery time varies depending on the surgical approach used. After surgery, you'll gradually return to normal activities as your incisions heal. This type of procedure can be performed various ways, including an open surgical approach or a minimally invasive laparoscopic technique, and the cost may vary depending on the method used."
GP03Z,Encounter,Colonoscopy,Gastroenterology,OP,4.50,5312,"Colonoscopy is a procedure where your doctor uses a long, flexible camera to examine your entire large intestine (colon and rectum). This important screening and diagnostic tool allows your doctor to look for polyps, tumors, inflammation, bleeding sources, and other abnormalities. Before the procedure, you'll prepare your colon by drinking a special cleaning solution to clear it completely. During the procedure, you'll be sedated to keep you comfortable while your doctor gently advances the camera through your colon. If your doctor finds polyps or areas of concern, they can remove tissue samples (biopsies) or remove growths during the same procedure. Most colonoscopies take 15-30 minutes, though therapeutic procedures may take longer. The cost of this procedure may vary depending on the complexity involved. Categories include diagnostic, simple, diagnostic, complex (eus, biopsy), therapeutic, simple, and therapeutic, mucosal resection."
GP04Z,Encounter,Upper endoscopy (EGD),Gastroenterology,OP,4.50,5302,"Upper endoscopy, also called EGD (esophagogastroduodenoscopy), is a procedure where your doctor uses a flexible camera to examine your upper digestive tract. Your doctor looks at your esophagus (food tube), stomach, and the beginning of your small intestine to diagnose or treat problems. Before the procedure, your doctor will numb your throat with a spray to minimize gagging. You'll be sedated to keep you comfortable while your doctor gently advances the camera down your food tube. During the procedure, your doctor can perform various treatments depending on what they find. The procedure typically takes 10-20 minutes, though therapeutic procedures may take longer. The cost of this procedure may vary depending on the complexity involved. Categories include diagnostic, therapeutic, simple, therapeutic, with eus, ercp variants (sphincterotomy, stent, stone extraction), and transmural drainage (pseudocyst)."
GP05Z,Encounter,Hernia repair,Gastroenterology,OP,4.23,5341,"Hernia repair is surgery to fix a hernia, which occurs when an organ or tissue pushes through a weak spot in the surrounding muscle or tissue. Hernias commonly develop in the abdomen, groin, or at the site of previous surgery and can cause pain, enlargement, or risk of dangerous complications. Your surgeon will use mesh or sutures to close the defect and reinforce the weak area to prevent the hernia from returning. Your surgeon may use either open surgery with a larger incision or laparoscopic surgery with smaller incisions. Recovery varies depending on the type of hernia and surgical approach used. After surgery, you'll need to avoid heavy lifting and strenuous activity for several weeks while your incision heals. Most people typically return to normal activities within 4-6 weeks. This type of procedure can be performed various ways, including an open surgical approach or a minimally invasive laparoscopic technique, and the cost may vary depending on the method used."
GP060,Encounter,Image-guided liver biopsy,Gastroenterology,OP,3.50,5072,"Image-guided liver biopsy is a procedure where your doctor takes a small sample of liver tissue using a needle guided by ultrasound or CT imaging. This test helps your doctor diagnose liver diseases by examining liver tissue under a microscope. Your doctor will use imaging to guide a biopsy needle to the right spot in your liver while you remain awake. You'll receive local anesthesia to numb the area where the needle enters your skin. The biopsy needle removes a tiny piece of liver tissue that's sent to a lab for analysis. The procedure usually takes 15-30 minutes and generally causes minimal discomfort. After the procedure, you'll rest briefly and receive instructions about limiting activity for a few days while the biopsy site heals."
GP070,Encounter,Sigmoidoscopy,Gastroenterology,OP,4.50,5311,"Sigmoidoscopy is a procedure where your doctor uses a flexible camera to examine your sigmoid colon (lower part of your large intestine) and rectum. This procedure helps diagnose problems like inflammation, tumors, polyps, bleeding sources, or infections in your lower colon. Your doctor will perform a bowel preparation with an enema or laxative to clear your colon for better visualization. During the procedure, you'll be awake and may feel mild pressure or cramping as the camera advances. You can usually return to normal activities immediately after sigmoidoscopy, without needing sedation or a driver. If your doctor finds concerning areas, they may take biopsies or recommend additional testing. Sigmoidoscopy examines only your lower colon, unlike colonoscopy which examines your entire large intestine."
HP01Z,Encounter,Lymph node biopsy,Hematology,OP,4.28,5091,"Lymph node biopsy is removal of a lymph node sample for examination under a microscope. Lymph nodes are part of your immune system, and biopsying them can help diagnose infections, cancers, or other conditions. Your doctor will use imaging to locate the lymph node and remove a sample using either a needle or surgical technique. The sample is sent to a laboratory for analysis to determine the cause of your lymph node enlargement. Results help your doctor diagnose your condition and plan appropriate treatment. Lymph node biopsies can be performed on superficial nodes near your skin or deeper nodes requiring surgical access, depending on which nodes are affected. This type of procedure can be performed various ways, including superficial and open, and the cost may vary depending on the specific approach or service provided."
JE01Z,Encounter,IMRT treatment planning,Oncology / Radiation Therapy,OP,2.00,5613,"IMRT treatment planning is an outpatient appointment series that prepares you for radiation therapy by mapping the exact radiation dose for your tumor. Your radiation oncologist and medical physicists create a customized plan using imaging and computer calculations. You'll undergo CT scans and possibly other imaging while positioned exactly as you'll be during treatment. The planning process takes several appointments and may take 1-2 weeks. Once planning is complete, your actual radiation treatments begin. This category includes different levels of complexity based on your tumor characteristics. The cost of this procedure may vary depending on the complexity involved. Categories include basic consultation & dosimetry, device/hardware, and complex dosimetry."
KP010,I&S,Arthrocentesis,Musculoskeletal,OP,5.00,5441,"An arthrocentesis is an outpatient procedure where your doctor uses a needle to insert fluid into one of your joints, usually your knee, shoulder, hip, or ankle. This is done to inject medication (like a steroid or lubricant) to reduce inflammation and pain, or sometimes to remove fluid from a swollen joint. The procedure takes just a few minutes and is performed in your doctor's office or an outpatient clinic. Your doctor uses ultrasound or other imaging to guide the needle to the exact location inside the joint. You may feel pressure or mild discomfort, but the procedure is not very painful. After the injection, you can usually go home immediately and return to light activities. You should avoid strenuous activity for a day or two while the injection takes effect."
KP03Z,Encounter,Cervical disc replacement,Musculoskeletal,OP,4.49,5116,"A cervical disc replacement is an outpatient surgical procedure where your surgeon removes a damaged disc in your neck and replaces it with an artificial disc that mimics your natural disc's movement. Unlike fusion, which locks vertebrae together, disc replacement preserves motion in your neck. The surgery is performed from the front of your neck and usually takes 1-2 hours. You may go home the same day or stay overnight depending on your surgeon's preference and your condition. You'll wear a neck brace temporarily to support healing. Recovery typically takes 6-12 weeks, and you can often return to normal activities within this timeframe. Physical therapy helps restore strength and motion. The goal is to relieve your pain while maintaining better neck flexibility than fusion would provide. This type of procedure can be performed various ways, including removal/replacement and total, and the cost may vary depending on the extent of the procedure."
KP04Z,Encounter,Hip replacement,Musculoskeletal,OP,4.49,5115,"A hip replacement is an outpatient surgical procedure where your surgeon removes damaged bone and cartilage from your hip joint and replaces it with artificial components made of metal, plastic, or ceramic. Hip replacement is performed when arthritis or other damage makes your hip painful and stiff. The surgery takes about 1-2 hours, and you may go home the same day or stay overnight. After surgery, you'll use crutches or a walker and begin physical therapy immediately. You can put weight on your new hip right away in most cases. Full recovery typically takes 3-6 months. You'll need to follow activity restrictions for several weeks to protect your new hip. Most patients experience significant pain relief and improved mobility after hip replacement. Your surgeon may perform several variations of this procedure depending on your specific hip damage. This type of procedure can be performed various ways, including acetabuloplasty and partial replacement or revision and total, and the cost may vary depending on the extent of the procedure."
KP050,Encounter,Knee / hip arthroplasty revision,Musculoskeletal,OP,2.50,5116,"A knee or hip arthroplasty revision is an outpatient procedure to replace or repair a previous knee or hip replacement that has worn out, failed, or become damaged. Over time, artificial joints can loosen, wear down, or develop problems that require surgery. Your surgeon will remove the old implant and replace it with a new one, which may require additional bone grafting if significant bone loss has occurred. The procedure takes longer than initial joint replacement and requires careful surgical planning. You may stay overnight or go home the same day depending on the complexity. Recovery takes longer than initial replacement, typically 3-6 months. Physical therapy is essential to restore function to your joint. Revision surgeries are often more complex than the original replacement."
KP06Z,Encounter,Knee replacement,Musculoskeletal,OP,4.50,5115,"A knee replacement is an outpatient surgical procedure where your surgeon removes damaged bone and cartilage from your knee and replaces it with artificial components. Knee replacement is performed when arthritis or injury has damaged your knee joint beyond repair, causing pain and limiting your mobility. The surgery takes about 1-2 hours, and you may go home the same day or stay overnight. You'll use crutches or a walker after surgery and begin physical therapy immediately. You can put weight on your new knee right away in most cases. Full recovery typically takes 3-6 months. You'll need to follow activity restrictions for several weeks to protect your new knee. Most patients experience significant pain relief and improved function. This type of procedure can be performed various ways, including partial/unicompartmental and total, and the cost may vary depending on the extent of the procedure."
KP070,Encounter,Lumbar laminectomy,Musculoskeletal,OP,4.50,5114,"A lumbar laminectomy is an outpatient surgical procedure where your surgeon removes part of the bone (lamina) from the vertebrae in your lower back to relieve pressure on your spinal nerve. This pressure often causes pain, numbness, or weakness in your leg or back. The procedure takes about 1-2 hours, and you may go home the same day or stay overnight depending on your surgeon's preference. You'll have restrictions on bending and lifting while you heal, typically for 4-6 weeks. Physical therapy helps restore your strength and flexibility. Most patients experience relief from leg pain and numbness. You may need to modify your activities for a few months while your back completely heals. Recovery varies depending on your overall health and the extent of your surgery."
KP08Z,Encounter,Non-surgical ankle fracture treatment,Musculoskeletal,OP,1.44,5111,"Non-surgical ankle fracture treatment is an outpatient procedure where your doctor treats your broken ankle without surgery by immobilizing it with a cast or boot. Your doctor will first take X-rays to determine the type and location of your fracture. If the break is stable and the bone pieces are properly aligned, surgery is not necessary. Your doctor will apply a cast or walking boot to keep the ankle immobilized so the bone can heal. You'll need to keep weight off your ankle for several weeks, using crutches or a walker. X-rays will be taken periodically to monitor healing progress. Physical therapy helps restore your strength and motion once healing is underway. Your ankle will be tender for several weeks, and full healing typically takes 6-12 weeks depending on the fracture severity. The cost of this procedure may vary depending on whether your doctor needs to manually reposition (manipulate) the bone fragments into proper alignment, or whether the fracture can heal in its current position without manipulation."
KP09Z,Encounter,Non-surgical arm fracture treatment,Musculoskeletal,OP,2.84,5112,"Non-surgical arm fracture treatment is an outpatient procedure where your doctor treats your broken arm without surgery by immobilizing it with a cast or sling. Your doctor will take X-rays to determine the type and severity of your fracture. If the break is stable and properly aligned, surgery is typically not needed. Your doctor will apply a cast or sling to immobilize your arm so the bone can heal. You'll need to keep your arm still and avoid strenuous activities for several weeks. X-rays will be taken periodically to monitor healing. Once the cast is removed, physical therapy helps restore your strength and motion. Some fractures may need the bones manipulated into proper position before casting. The cost of this procedure may vary depending on whether your doctor needs to manually reposition (manipulate) the bone fragments into proper alignment, or whether the fracture can heal in its current position without manipulation."
KP120,Encounter,Non-surgical foot fracture treatment (with / without manipulation),Musculoskeletal,OP,3.50,5111,"Non-surgical foot fracture treatment is an outpatient procedure where your doctor treats your broken foot bones without surgery using a cast, boot, or specialized shoe. Your doctor will take X-rays to determine which foot bones are broken and assess the severity. Many foot fractures can heal without surgery if the bones are properly aligned. You'll wear protective footwear, usually a cast or walking boot, to immobilize your foot and allow healing. You'll need to avoid weight-bearing activities for several weeks, using crutches if necessary. Ice and elevation help manage swelling and pain. Periodic X-rays monitor healing progress. Physical therapy helps restore your strength and motion once healing is underway. Full healing typically takes 6-12 weeks depending on the fracture location and severity."
KP13Z,Encounter,Non-surgical hand fracture treatment,Musculoskeletal,OP,3.50,5112,"Non-surgical hand fracture treatment is an outpatient procedure where your doctor treats your broken hand bones without surgery using a splint, cast, or buddy taping (taping your injured finger to an adjacent finger). Your doctor takes X-rays to determine which hand bones are broken. Many hand fractures can heal without surgery if properly immobilized. Your doctor will apply protective immobilization and provide instructions for care. You'll need to keep your hand elevated to reduce swelling and ice it regularly. Pain medication helps manage discomfort. You'll avoid heavy gripping and strenuous hand activities during healing. Periodic X-rays monitor progress. Physical therapy helps restore your motion and strength once healing is underway. Full healing typically takes 4-8 weeks depending on the fracture type. Some fractures may need the bones repositioned before immobilization. The cost of this procedure may vary depending on whether your doctor needs to manually reposition (manipulate) the bone fragments into proper alignment, or whether the fracture can heal in its current position without manipulation."
KP140,Encounter,Non-surgical hip fracture treatment,Musculoskeletal,OP,3.50,5112,"Non-surgical hip fracture treatment is an outpatient procedure where your doctor treats your broken hip without surgery. However, it's important to know that most hip fractures require surgery to heal properly because the hip joint must be precisely aligned. If your fracture is truly stable and non-displaced (the bone pieces are properly aligned), your doctor might treat it with bed rest, physical therapy, and protective padding. You'll use crutches or a walker and avoid weight-bearing on the affected leg. Pain medication and ice help manage discomfort. Your doctor will monitor your healing closely with periodic X-rays. Physical therapy is crucial to prevent blood clots and maintain muscle strength."
KP160,Encounter,Non-surgical knee fracture treatment,Musculoskeletal,OP,3.50,5111,"Non-surgical knee fracture treatment is an outpatient procedure where your doctor treats your broken knee bone without surgery. Most uncomplicated knee fractures, particularly stress fractures or simple breaks without displacement, can heal without surgery. Your doctor will take X-rays to confirm the fracture type. You'll wear a cast, brace, or immobilizer to protect your knee. You'll need to avoid weight-bearing activities for several weeks, using crutches if necessary. Ice, elevation, and pain medication help manage discomfort and swelling. Periodic X-rays monitor healing progress. Physical therapy helps maintain your strength and flexibility while you heal. Once the cast is removed, therapy becomes more active to restore full function. Full healing typically takes 6-12 weeks depending on the fracture severity."
KP17Z,Encounter,Non-surgical nasal fracture treatment,Musculoskeletal,OP,4.37,5163,"Non-surgical nasal fracture treatment is an outpatient procedure where your doctor treats your broken nose without surgery. Nasal fractures are very common and many heal well without surgery. Your doctor will take X-rays or CT (computed tomography) scans to determine the fracture location and severity. If your nasal passages are not significantly blocked and your appearance is acceptable to you, surgery may not be needed. Treatment focuses on managing pain and swelling with ice, pain medication, and elevation. You should avoid blowing your nose and protect your face from further injury. Your doctor will monitor your healing. Once initial swelling subsides, you and your doctor can discuss whether the appearance or function warrants later surgical correction. Some nasal fractures are manipulated to improve alignment or function before healing begins. The cost of this procedure may vary depending on whether your doctor needs to manually reposition (manipulate) the bone fragments into proper alignment, or whether the fracture can heal in its current position without manipulation."
KP180,Encounter,Non-surgical pelvic fracture treatment,Musculoskeletal,OP,4.50,5111,"Non-surgical pelvic fracture treatment is an outpatient procedure where your doctor treats your broken pelvic bone without surgery. Pelvic fractures range from stable breaks that heal well without surgery to complex fractures that require hospitalization and surgery. Your doctor will take X-rays to determine the fracture pattern and stability. If the fracture is stable, you'll use crutches or a walker and avoid weight-bearing or only partially bear weight as directed. You'll need bed rest initially and pain management. Ice and elevation help reduce swelling. Periodic X-rays monitor healing. Physical therapy helps restore your strength and mobility as you heal. Recovery typically takes 8-16 weeks depending on fracture severity. Your doctor will give you specific weight-bearing instructions based on your fracture type."
